Pid      Process              Block      Variable                       Value
-------- -------------------- ---------- ------------------------------ -----
    1288 svchost.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
    1288 svchost.exe          0x00010000 PROCESSOR_LEVEL                6
    1288 svchost.exe          0x00010000 PROCESSOR_REVISION             4501
    1288 svchost.exe          0x00010000 ProgramFiles                   C:\Program Files
    1288 svchost.exe          0x00010000 SystemDrive                    C:
    1288 svchost.exe          0x00010000 SystemRoot                     C:\WINDOWS
    1288 svchost.exe          0x00010000 TEMP                           C:\DOCUME~1\LOCALS~1\LOCALS~1\Temp
    1288 svchost.exe          0x00010000 TMP                            C:\DOCUME~1\LOCALS~1\LOCALS~1\Temp
    1288 svchost.exe          0x00010000 USERDOMAIN                     NT AUTHORITY
    1288 svchost.exe          0x00010000 USERNAME                       LOCAL SERVICE
    1288 svchost.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\LocalService
    1288 svchost.exe          0x00010000 windir                         C:\WINDOWS
    1456 spoolsv.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1456 spoolsv.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1456 spoolsv.exe          0x00010000 COMPUTERNAME                   XPBASELINE
    1456 spoolsv.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1456 spoolsv.exe          0x00010000 FP_NO_HOST_CHECK               NO
    1456 spoolsv.exe          0x00010000 NUMBER_OF_PROCESSORS           1
    1456 spoolsv.exe          0x00010000 OS                             Windows_NT
    1456 spoolsv.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1456 spoolsv.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1456 spoolsv.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
    1456 spoolsv.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
    1456 spoolsv.exe          0x00010000 PROCESSOR_LEVEL                6
    1456 spoolsv.exe          0x00010000 PROCESSOR_REVISION             4501
    1456 spoolsv.exe          0x00010000 ProgramFiles                   C:\Program Files
    1456 spoolsv.exe          0x00010000 SystemDrive                    C:
    1456 spoolsv.exe          0x00010000 SystemRoot                     C:\WINDOWS
    1456 spoolsv.exe          0x00010000 TEMP                           C:\WINDOWS\TEMP
    1456 spoolsv.exe          0x00010000 TMP                            C:\WINDOWS\TEMP
    1456 spoolsv.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\LocalService
    1456 spoolsv.exe          0x00010000 windir                         C:\WINDOWS
    1980 alg.exe              0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1980 alg.exe              0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1980 alg.exe              0x00010000 COMPUTERNAME                   XPBASELINE
    1980 alg.exe              0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1980 alg.exe              0x00010000 FP_NO_HOST_CHECK               NO
    1980 alg.exe              0x00010000 NUMBER_OF_PROCESSORS           1
    1980 alg.exe              0x00010000 OS                             Windows_NT
    1980 alg.exe              0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1980 alg.exe              0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1980 alg.exe              0x00010000 PROCESSOR_ARCHITECTURE         x86
    1980 alg.exe              0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
    1980 alg.exe              0x00010000 PROCESSOR_LEVEL                6
    1980 alg.exe              0x00010000 PROCESSOR_REVISION             4501
    1980 alg.exe              0x00010000 ProgramFiles                   C:\Program Files
    1980 alg.exe              0x00010000 SystemDrive                    C:
    1980 alg.exe              0x00010000 SystemRoot                     C:\WINDOWS
    1980 alg.exe              0x00010000 TEMP                           C:\DOCUME~1\LOCALS~1\LOCALS~1\Temp
    1980 alg.exe              0x00010000 TMP                            C:\DOCUME~1\LOCALS~1\LOCALS~1\Temp
    1980 alg.exe              0x00010000 USERDOMAIN                     NT AUTHORITY
    1980 alg.exe              0x00010000 USERNAME                       LOCAL SERVICE
    1980 alg.exe              0x00010000 USERPROFILE                    C:\Documents and Settings\LocalService
    1980 alg.exe              0x00010000 windir                         C:\WINDOWS
    1048 explorer.exe         0x00b30000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1048 explorer.exe         0x00b30000 APPDATA                        C:\Documents and Settings\Administrator\Application Data
    1048 explorer.exe         0x00b30000 CLIENTNAME                     Console
    1048 explorer.exe         0x00b30000 CommonProgramFiles             C:\Program Files\Common Files
    1048 explorer.exe         0x00b30000 COMPUTERNAME                   XPBASELINE
    1048 explorer.exe         0x00b30000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1048 explorer.exe         0x00b30000 FP_NO_HOST_CHECK               NO
    1048 explorer.exe         0x00b30000 HOMEDRIVE                      C:
    1048 explorer.exe         0x00b30000 HOMEPATH                       \Documents and Settings\Administrator
    1048 explorer.exe         0x00b30000 LOGONSERVER                    \\XPBASELINE
    1048 explorer.exe         0x00b30000 NUMBER_OF_PROCESSORS           1
    1048 explorer.exe         0x00b30000 OS                             Windows_NT
    1048 explorer.exe         0x00b30000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1048 explorer.exe         0x00b30000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1048 explorer.exe         0x00b30000 PROCESSOR_ARCHITECTURE         x86
    1048 explorer.exe         0x00b30000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
    1048 explorer.exe         0x00b30000 PROCESSOR_LEVEL                6
    1048 explorer.exe         0x00b30000 PROCESSOR_REVISION             4501
    1048 explorer.exe         0x00b30000 ProgramFiles                   C:\Program Files
    1048 explorer.exe         0x00b30000 SESSIONNAME                    Console
    1048 explorer.exe         0x00b30000 SystemDrive                    C:
    1048 explorer.exe         0x00b30000 SystemRoot                     C:\WINDOWS
    1048 explorer.exe         0x00b30000 TEMP                           C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1048 explorer.exe         0x00b30000 TMP                            C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1048 explorer.exe         0x00b30000 Trinity                        Key: ICrackedtheIRSd-base
    1048 explorer.exe         0x00b30000 USERDOMAIN                     XPBASELINE
    1048 explorer.exe         0x00b30000 USERNAME                       Administrator
    1048 explorer.exe         0x00b30000 USERPROFILE                    C:\Documents and Settings\Administrator
    1048 explorer.exe         0x00b30000 windir                         C:\WINDOWS
    1144 wscntfy.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1144 wscntfy.exe          0x00010000 APPDATA                        C:\Documents and Settings\Administrator\Application Data
    1144 wscntfy.exe          0x00010000 CLIENTNAME                     Console
    1144 wscntfy.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1144 wscntfy.exe          0x00010000 COMPUTERNAME                   XPBASELINE
    1144 wscntfy.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1144 wscntfy.exe          0x00010000 FP_NO_HOST_CHECK               NO
    1144 wscntfy.exe          0x00010000 HOMEDRIVE                      C:
    1144 wscntfy.exe          0x00010000 HOMEPATH                       \Documents and Settings\Administrator
    1144 wscntfy.exe          0x00010000 LOGONSERVER                    \\XPBASELINE
    1144 wscntfy.exe          0x00010000 NUMBER_OF_PROCESSORS           1
    1144 wscntfy.exe          0x00010000 OS                             Windows_NT
    1144 wscntfy.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1144 wscntfy.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1144 wscntfy.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
    1144 wscntfy.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
    1144 wscntfy.exe          0x00010000 PROCESSOR_LEVEL                6
    1144 wscntfy.exe          0x00010000 PROCESSOR_REVISION             4501
    1144 wscntfy.exe          0x00010000 ProgramFiles                   C:\Program Files
    1144 wscntfy.exe          0x00010000 SESSIONNAME                    Console
    1144 wscntfy.exe          0x00010000 SystemDrive                    C:
    1144 wscntfy.exe          0x00010000 SystemRoot                     C:\WINDOWS
    1144 wscntfy.exe          0x00010000 TEMP                           C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1144 wscntfy.exe          0x00010000 TMP                            C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1144 wscntfy.exe          0x00010000 USERDOMAIN                     XPBASELINE
    1144 wscntfy.exe          0x00010000 USERNAME                       Administrator
    1144 wscntfy.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\Administrator
    1144 wscntfy.exe          0x00010000 windir                         C:\WINDOWS
    1488 notepad.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1488 notepad.exe          0x00010000 APPDATA                        C:\Documents and Settings\Administrator\Application Data
    1488 notepad.exe          0x00010000 CLIENTNAME                     Console
    1488 notepad.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1488 notepad.exe          0x00010000 COMPUTERNAME                   XPBASELINE
    1488 notepad.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1488 notepad.exe          0x00010000 FP_NO_HOST_CHECK               NO
    1488 notepad.exe          0x00010000 HOMEDRIVE                      C:
    1488 notepad.exe          0x00010000 HOMEPATH                       \Documents and Settings\Administrator
    1488 notepad.exe          0x00010000 LOGONSERVER                    \\XPBASELINE
    1488 notepad.exe          0x00010000 NUMBER_OF_PROCESSORS           1
    1488 notepad.exe          0x00010000 OS                             Windows_NT
    1488 notepad.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1488 notepad.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1488 notepad.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
    1488 notepad.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
    1488 notepad.exe          0x00010000 PROCESSOR_LEVEL                6
    1488 notepad.exe          0x00010000 PROCESSOR_REVISION             4501
    1488 notepad.exe          0x00010000 ProgramFiles                   C:\Program Files
    1488 notepad.exe          0x00010000 SESSIONNAME                    Console
    1488 notepad.exe          0x00010000 SystemDrive                    C:
    1488 notepad.exe          0x00010000 SystemRoot                     C:\WINDOWS
    1488 notepad.exe          0x00010000 TEMP                           C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1488 notepad.exe          0x00010000 TMP                            C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1488 notepad.exe          0x00010000 USERDOMAIN                     XPBASELINE
    1488 notepad.exe          0x00010000 USERNAME                       Administrator
    1488 notepad.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\Administrator
    1488 notepad.exe          0x00010000 windir                         C:\WINDOWS
    1668 mspaint.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1668 mspaint.exe          0x00010000 APPDATA                        C:\Documents and Settings\Administrator\Application Data
    1668 mspaint.exe          0x00010000 CLIENTNAME                     Console
    1668 mspaint.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1668 mspaint.exe          0x00010000 COMPUTERNAME                   XPBASELINE
    1668 mspaint.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1668 mspaint.exe          0x00010000 FP_NO_HOST_CHECK               NO
    1668 mspaint.exe          0x00010000 HOMEDRIVE                      C:
    1668 mspaint.exe          0x00010000 HOMEPATH                       \Documents and Settings\Administrator
    1668 mspaint.exe          0x00010000 LOGONSERVER                    \\XPBASELINE
    1668 mspaint.exe          0x00010000 NUMBER_OF_PROCESSORS           1
    1668 mspaint.exe          0x00010000 OS                             Windows_NT
    1668 mspaint.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1668 mspaint.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1668 mspaint.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
    1668 mspaint.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
    1668 mspaint.exe          0x00010000 PROCESSOR_LEVEL                6
    1668 mspaint.exe          0x00010000 PROCESSOR_REVISION             4501
    1668 mspaint.exe          0x00010000 ProgramFiles                   C:\Program Files
    1668 mspaint.exe          0x00010000 SESSIONNAME                    Console
    1668 mspaint.exe          0x00010000 SystemDrive                    C:
    1668 mspaint.exe          0x00010000 SystemRoot                     C:\WINDOWS
    1668 mspaint.exe          0x00010000 TEMP                           C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1668 mspaint.exe          0x00010000 TMP                            C:\DOCUME~1\ADMINI~1\LOCALS~1\Temp
    1668 mspaint.exe          0x00010000 Trinity                        ICrackedtheIRSd-base
    1668 mspaint.exe          0x00010000 USERDOMAIN                     XPBASELINE
    1668 mspaint.exe          0x00010000 USERNAME                       Administrator
